Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,21.36142173913043,0.7445454545454545,
1961-12-31,21.36142173913043,0.7445454545454545,
1962-12-31,21.36142173913043,0.7445454545454545,
1963-12-31,21.36142173913043,0.7445454545454545,
1964-12-31,21.36142173913043,0.7445454545454545,
1965-12-31,21.36142173913043,0.7445454545454545,
1966-12-31,21.36142173913043,0.7445454545454545,
1967-12-31,21.36142173913043,0.7445454545454545,
1968-12-31,21.36142173913043,0.7445454545454545,
1969-12-31,21.36142173913043,0.7445454545454545,
1970-12-31,21.36142173913043,0.7445454545454545,
1971-12-31,21.36142173913043,0.7445454545454545,
1972-12-31,21.36142173913043,0.7445454545454545,
1973-12-31,21.36142173913043,0.7445454545454545,
1974-12-31,21.36142173913043,0.7445454545454545,
1975-12-31,21.36142173913043,0.7445454545454545,
1976-12-31,21.36142173913043,0.7445454545454545,
1977-12-31,21.36142173913043,0.7445454545454545,
1978-12-31,21.36142173913043,0.7445454545454545,
1979-12-31,21.36142173913043,0.7445454545454545,
1980-12-31,21.36142173913043,0.7445454545454545,
1981-12-31,21.36142173913043,0.7445454545454545,
1982-12-31,21.36142173913043,0.7445454545454545,
1983-12-31,21.36142173913043,0.7445454545454545,
1984-12-31,21.36142173913043,0.7445454545454545,
1985-12-31,21.36142173913043,0.7445454545454545,
1986-12-31,21.36142173913043,0.7445454545454545,
1987-12-31,21.36142173913043,0.7445454545454545,
1988-12-31,21.36142173913043,0.7445454545454545,
1989-12-31,21.36142173913043,0.7445454545454545,
1990-12-31,21.36142173913043,0.7445454545454545,
1991-12-31,21.36142173913043,0.7445454545454545,
1992-12-31,21.36142173913043,0.7445454545454545,
1993-12-31,21.36142173913043,0.7445454545454545,
1994-12-31,21.36142173913043,0.7445454545454545,
1995-12-31,21.36142173913043,0.7445454545454545,
1996-12-31,21.36142173913043,0.7445454545454545,
1997-12-31,21.36142173913043,0.7445454545454545,
1998-12-31,21.36142173913043,0.7445454545454545,
1999-12-31,21.36142173913043,0.7445454545454545,
2000-12-31,12.6008,0.7445454545454545,
2001-12-31,12.9658,0.37,
2002-12-31,13.7774,0.81,
2003-12-31,14.6139,0.84,
2004-12-31,15.4755,0.86,
2005-12-31,16.3623,0.89,
2006-12-31,17.2747,0.91,
2007-12-31,18.2131,0.94,
2008-12-31,19.1779,0.96,
2009-12-31,20.1686,0.99,
2010-12-31,21.1862,1.02,
2011-12-31,22.2288,1.04,
2012-12-31,23.2016,0.97,
2013-12-31,23.7917,0.59,
2014-12-31,24.3798,0.59,
2015-12-31,24.9659,0.59,
2016-12-31,25.5492,0.58,
2017-12-31,26.13,0.58,
2018-12-31,26.7078,0.58,
2019-12-31,27.2823,0.57,
2020-12-31,27.8535,0.57,
2021-12-31,28.421,0.57,
2022-12-31,28.9849,0.56,
2023-12-31,21.36142173913043,0.7445454545454545,
